date,china_gdp_growth,china_industrial_output,world_gdp_growth,eu_gdp_growth
2021-01-21,8.272227802364288,7.886044127484901,6.2484019563539315,6.223437930431263
2021-01-22,8.25733493589934,7.869854783427167,6.240154573400641,6.215722320002336
2021-01-23,8.242442069434393,7.853665439369433,6.231907190447352,6.208006709573409
2021-01-24,8.227549202969447,7.8374760953116995,6.2236598074940614,6.200291099144481
2021-01-25,8.2126563365045,7.821286751253965,6.215412424540771,6.192575488715554
2021-01-26,8.197763470039554,7.805097407196231,6.207165041587482,6.184859878286627
2021-01-27,8.182870603574607,7.788908063138497,6.198917658634191,6.1771442678577
2021-01-28,8.167977737109661,7.772718719080763,6.190670275680902,6.169428657428773
2021-01-29,8.153084870644713,7.75652937502303,6.182422892727612,6.161713046999845
2021-01-30,8.138192004179768,7.740340030965296,6.174175509774322,6.153997436570918
2021-01-31,8.12329913771482,7.724150686907562,6.165928126821032,6.1462818261419905
2021-02-01,8.108406271249875,7.707961342849828,6.157680743867743,6.138566215713063
2021-02-02,8.093513404784927,7.691771998792094,6.149433360914452,6.130850605284135
2021-02-03,8.078620538319981,7.6755826547343595,6.141185977961162,6.123134994855208
2021-02-04,8.063727671855034,7.659393310676626,6.1329385950078725,6.115419384426281
2021-02-05,8.048834805390088,7.643203966618892,6.124691212054582,6.107703773997354
2021-02-06,8.03394193892514,7.627014622561158,6.116443829101293,6.099988163568426
2021-02-07,8.019049072460195,7.610825278503424,6.1081964461480025,6.092272553139499
2021-02-08,8.004156205995248,7.594635934445691,6.099949063194713,6.084556942710572
2021-02-09,7.989263339530301,7.578446590387957,6.091701680241423,6.076841332281645
2021-02-10,7.974370473065354,7.562257246330223,6.083454297288133,6.069125721852717
2021-02-11,7.959477606600408,7.546067902272489,6.075206914334843,6.06141011142379
2021-02-12,7.944584740135461,7.5298785582147545,6.066959531381553,6.053694500994863
2021-02-13,7.929691873670515,7.51368921415702,6.058712148428263,6.0459788905659355
2021-02-14,7.914799007205568,7.497499870099287,6.050464765474973,6.0382632801370075
2021-02-15,7.8999061407406215,7.481310526041553,6.042217382521684,6.03054766970808
2021-02-16,7.885013274275675,7.465121181983819,6.033969999568393,6.022832059279153
2021-02-17,7.870120407810728,7.448931837926085,6.025722616615104,6.015116448850226
2021-02-18,7.855227541345782,7.432742493868352,6.017475233661814,6.007400838421298
2021-02-19,7.840334674880835,7.416553149810618,6.009227850708523,5.999685227992371
2021-02-20,7.8254418084158885,7.4003638057528836,6.000980467755234,5.991969617563444
2021-02-21,7.810548941950941,7.3841744616951495,5.9927330848019436,5.984254007134517
2021-02-22,7.7956560754859945,7.367985117637415,5.984485701848654,5.976538396705589
2021-02-23,7.780763209021048,7.351795773579681,5.976238318895364,5.968822786276662
2021-02-24,7.765870342556101,7.335606429521948,5.967990935942074,5.961107175847735
2021-02-25,7.750977476091155,7.319417085464214,5.959743552988784,5.953391565418808
2021-02-26,7.736084609626208,7.30322774140648,5.951496170035494,5.9456759549898806
2021-02-27,7.7211917431612616,7.287038397348746,5.943248787082204,5.937960344560953
2021-02-28,7.706298876696315,7.270849053291013,5.935001404128914,5.9302447341320255
2021-03-01,7.691406010231368,7.2546597092332785,5.926754021175625,5.922529123703098
2021-03-02,7.676513143766422,7.238470365175544,5.918506638222334,5.914813513274171
2021-03-03,7.661620277301475,7.22228102111781,5.910259255269045,5.907097902845243
2021-03-04,7.646727410836529,7.206091677060076,5.902011872315755,5.899382292416316
2021-03-05,7.631834544371582,7.189902333002342,5.893764489362464,5.891666681987389
2021-03-06,7.6169416779066355,7.173712988944609,5.885517106409175,5.883951071558462
2021-03-07,7.602048811441689,7.157523644886875,5.877269723455885,5.876235461129534
2021-03-08,7.587155944976742,7.141334300829141,5.869022340502595,5.868519850700607
2021-03-09,7.572263078511796,7.125144956771407,5.860774957549305,5.86080424027168
2021-03-10,7.557370212046849,7.1089556127136735,5.8525275745960155,5.853088629842753
2021-03-11,7.5424773455819025,7.092766268655939,5.844280191642725,5.845373019413825
2021-03-12,7.527584479116955,7.076576924598205,5.836032808689436,5.837657408984898
2021-03-13,7.512691612652009,7.060387580540471,5.827785425736145,5.8299417985559705
2021-03-14,7.497798746187062,7.044198236482737,5.819538042782856,5.822226188127043
2021-03-15,7.482905879722116,7.028008892425003,5.811290659829566,5.814510577698115
2021-03-16,7.468013013257169,7.01181954836727,5.803043276876275,5.806794967269188
2021-03-17,7.453120146792222,6.995630204309536,5.794795893922986,5.799079356840261
2021-03-18,7.4382272803272755,6.979440860251802,5.786548510969696,5.791363746411334
2021-03-19,7.423334413862329,6.963251516194068,5.778301128016406,5.783648135982407
2021-03-20,7.408441547397382,6.947062172136334,5.770053745063116,5.775932525553479
2021-03-21,7.393548680932436,6.9308728280786,5.7618063621098266,5.768216915124552
2021-03-22,7.378655814467489,6.914683484020866,5.753558979156536,5.760501304695625
2021-03-23,7.363762948002543,6.898494139963132,5.745311596203246,5.752785694266697
2021-03-24,7.348870081537596,6.882304795905398,5.7370642132499565,5.74507008383777
2021-03-25,7.333977215072649,6.866115451847664,5.728816830296666,5.737354473408843
2021-03-26,7.319084348607703,6.849926107789931,5.720569447343377,5.7296388629799155
2021-03-27,7.304191482142756,6.833736763732197,5.7123220643900865,5.721923252550988
2021-03-28,7.28929861567781,6.8175474196744625,5.704074681436797,5.7142076421220604
2021-03-29,7.274405749212863,6.8013580756167284,5.695827298483507,5.706492031693133
2021-03-30,7.2595128827479165,6.785168731558995,5.6875799155302165,5.698776421264206
2021-03-31,7.244620016282969,6.768979387501261,5.679332532576927,5.691060810835279
2021-04-01,7.229727149818023,6.752790043443527,5.671085149623637,5.683345200406351
2021-04-02,7.214834283353076,6.736600699385793,5.662837766670347,5.675629589977424
2021-04-03,7.19994141688813,6.720411355328059,5.654590383717057,5.667913979548497
2021-04-04,7.185048550423183,6.704222011270325,5.646343000763768,5.66019836911957
2021-04-05,7.170155683958236,6.688032667212591,5.638095617810477,5.652482758690642
2021-04-06,7.1552628174932895,6.6718433231548575,5.629848234857187,5.644767148261715
2021-04-07,7.140369951028343,6.655653979097123,5.621600851903898,5.637051537832788
2021-04-08,7.125477084563396,6.639464635039389,5.613353468950607,5.629335927403861
2021-04-09,7.11058421809845,6.623275290981656,5.605106085997318,5.621620316974933
2021-04-10,7.095691351633503,6.607085946923922,5.5968587030440275,5.6139047065460055
2021-04-11,7.080798485168557,6.590896602866188,5.588611320090738,5.606189096117078
2021-04-12,7.06590561870361,6.574707258808454,5.580363937137448,5.598473485688151
2021-04-13,7.051012752238663,6.55851791475072,5.5721165541841575,5.590757875259223
2021-04-14,7.036119885773717,6.542328570692986,5.563869171230868,5.583042264830296
2021-04-15,7.02122701930877,6.526139226635252,5.555621788277578,5.575326654401369
2021-04-16,7.006334152843824,6.509949882577518,5.547374405324288,5.567611043972442
2021-04-17,6.991441286378877,6.493760538519784,5.539127022370998,5.559895433543515
2021-04-18,6.9765484199139305,6.47757119446205,5.530879639417709,5.552179823114587
2021-04-19,6.961655553448984,6.461381850404317,5.522632256464418,5.54446421268566
2021-04-20,6.946762686984037,6.445192506346583,5.514384873511129,5.536748602256733
2021-04-21,6.93186982051909,6.429003162288849,5.506137490557839,5.529032991827805
2021-04-22,6.916976954054144,6.412813818231115,5.497890107604549,5.521317381398878
2021-04-23,6.902084087589197,6.396624474173381,5.489642724651259,5.5136017709699505
2021-04-24,6.887191221124251,6.380435130115647,5.481395341697969,5.505886160541023
2021-04-25,6.8722983546593035,6.3642457860579125,5.473147958744679,5.498170550112096
2021-04-26,6.857405488194357,6.348056442000179,5.464900575791389,5.490454939683168
2021-04-27,6.84251262172941,6.331867097942445,5.4566531928380995,5.482739329254241
